Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
44;1655;2006;1392;1652;67178;92505;53236;82786;66311;70840;58219;60292;14560;7931;24492;18205;11173;5466;12601;6554;11642;6100;16993;13112;;;;;2642;2501;2288;2297;;;;;;;;;;;1362;991;;;;442;;;46;57;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;;;;;;;;;;;;301;;;;3137;;;;1139;;;;;;;;;;;;;868
45;2251;2382;1764;2034;50107;79449;42402;69053;68572;70623;55393;61932;11351;6156;22295;16195;10130;5477;11765;7086;10801;5275;14770;11021;;;;;2501;2489;2291;2614;;;;;;;;;;;1130;1000;;748;;560;;;40;52;;;;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;;;;;;;;;;;;190;;;;2957;;1684;;2023;;;;;;;;;;;;;715
46;1991;2006;1701;1918;64365;87957;52292;79969;58827;63355;53085;55810;10073;5354;17875;14026;11663;5984;13314;7193;9476;5645;14217;10509;;;;;2029;2192;1882;2232;;;;;;;;;;;1297;1037;838;1138;;851;;;41;67;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;;;;;;;;;;;;181;;;;3359;;1346;;1497;;;;;;;;;;388;570;;676
47;2012;2478;1822;2211;55842;78435;47115;74129;49787;54582;41166;45916;10401;7248;19736;15170;11820;6737;12911;7057;10849;6815;13322;9756;;;;;2283;2321;1982;2283;;;;;;;;;;;1285;1049;;;;361;;;53;44;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;;;;;;;;;;;;130;;;;2571;;;;820;;;;;;;;;;;;;577
48;2203;2623;1948;2353;73215;99465;59493;90630;65573;69840;57144;58796;12982;6658;22004;16590;11976;6429;13908;7164;12533;8000;18936;15028;;;;;2853;2834;2534;2634;;;;;;;;;;;1513;1157;;;;385;;;53;83;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181;;;;;;;;;;;;248;;;;3528;;1422;;1767;;;;;;;;;;502;;;970
49;2258;2637;2005;2325;64555;91383;54487;84440;60376;66053;52747;58261;10231;4929;18752;12909;11402;5481;13429;6781;14856;8630;17360;12684;;;;;2606;2289;2452;2315;;;;;;;;;;;1405;1041;;;;383;;;52;48;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;;171;;;;3191;;1293;;1520;;;;;;;;;;;496;;709
50;2201;2978;1802;2594;69631;89068;53144;81279;50519;60671;47719;53365;9436;4466;16479;12572;12538;6896;15569;8596;9032;5718;13744;9317;;;;;2791;2680;2490;2704;;;;;;;;;;;1334;1087;;787;;528;;;34;75;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186;;;;;;;;;;;;129;;;;2812;;1163;;1771;;;;;;;;;;;;;755
51;2468;2918;2167;2856;53572;74710;39774;64679;47584;51257;40135;42048;7507;4414;15845;12344;10801;6376;13763;8096;12012;6613;19831;14421;;;;;1310;1579;1324;1597;;;;;;;;;;;1114;986;;;;230;118;233;77;127;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;;184;;4214;;4962;;;;1270;;;;;;;;;;1094;;;791
52;1736;2168;1535;1953;46064;71846;42391;67936;52427;54172;45319;46352;8480;4718;14114;11368;10216;5607;11309;6567;10692;5414;11801;8297;;;;;3023;2782;2606;2601;;;;;;;;;;;1176;988;415;675;;442;;;46;62;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;;;112;;;;2905;;1748;;1591;;;;;;;;;;;;;763
53;2196;2809;1790;2591;60107;86432;50912;78632;54451;62869;46256;53595;12719;6791;21481;16163;14083;7359;14988;8402;9624;5145;12983;9799;;;;;2599;2401;2352;2413;;;;;;;;;;;1247;1020;;;;290;;;27;53;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;;144;;;;2787;;;;866;;;;;;;;;;;;;757
