Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
188;5386;4950;4959;4742;44903;64837;35748;54838;64472;68835;50275;56712;12966;5953;25219;17323;9171;5177;10891;6617;11296;5946;15683;13411;;;;;2365;2541;1607;1961;;;1458;1773;;1857;;;;;1618;1457;;;;;;;41;65;;;165;126;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;113;;;;;;;;;;;;;;;;2782;;;;;;;;;;;;;;;;;720
189;3135;2948;2708;2869;22854;46127;22341;44045;57882;57982;51863;50360;9942;7455;14382;13068;33005;32141;32391;34797;5540;3824;6507;6121;;;;;3798;5134;3631;4950;;;299;750;;2559;;;;;;;;;;;;;127;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1416;;1009;;;;2309;;;;;;;;;;;;;;309;;;1082
190;1658;3123;1545;2769;29106;53696;23845;47724;44903;43695;42063;40233;8211;7301;11921;11506;35666;34133;36508;37711;4921;4412;6451;6541;;;;;4864;6008;4607;5727;;;467;1051;;;;;;;;;;;;;;789;268;774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;489;;;;2516;;;;;;;;;;;;;;1392;2126;;1166
191;1984;3206;1912;2933;22819;44638;21692;43332;42674;46738;39696;40334;9800;7596;12661;12115;39568;41234;37923;40688;5754;4391;6064;6037;;;;;4855;6824;4383;6187;;;491;1274;;;;;;;;;;;;;;;186;501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;406;;;;2581;;;;;;;;;;;;;;595;;;1340
192;1860;3661;1842;3274;37032;60384;27092;50019;40063;47115;42479;42966;10056;7598;12393;12399;35942;34761;38257;40120;7391;4171;7608;7170;;;;;5475;7118;4924;6296;;;513;1096;;;;;;;;;;1085;;;;;191;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;499;;;;3992;;;;;;;;;;;;;;1848;;;1645
193;2112;3619;1971;3425;33488;52304;26897;51375;45931;45728;41777;37749;8897;6801;13429;12638;43050;43520;41801;43048;12137;12553;15630;13638;;;;;4151;5145;3762;4235;;;451;1241;;;;;;;;;;;;;;;293;536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;;;;4958;;;;;;;;;;;;;;1620;;;2080
194;1962;3221;1638;2732;34658;59508;28034;57984;46590;45982;44951;40230;15695;10970;16832;15366;49344;55080;48724;51886;11471;9155;13243;12396;;;;;4771;6529;4209;5930;;;574;1132;;;;;;;;;;;;;;;190;535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;634;;;;5519;;;;;;;;;;;;;;;;;2064
195;2274;3248;1893;2949;20224;42586;19006;39083;42988;44714;37841;37865;9237;7289;12557;12571;33672;36507;33017;37611;4196;3661;4919;5423;;;;;4720;6406;4168;6037;;;397;912;;;;;;;;;;;;;;;156;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;478;;;;2707;;;;;;;;;;;;;;;;;1469
196;1952;3159;1743;2890;27824;53561;25004;52230;46726;46818;44770;44322;12534;8850;14342;13278;45820;46099;45439;49406;5684;4687;6654;6501;;;;;6574;8520;5978;8164;;;615;1254;;;;;;;;;;;;;582;806;395;1089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;557;;;;3340;;;;;;;;;;;;;;934;8131;;1616
197;2261;3614;1845;3226;27055;47046;22682;46986;39600;41833;38338;38376;10313;8108;12118;12068;41361;44753;40815;43073;5936;4981;6762;6149;;;;;4380;5780;3941;5462;;;532;1256;;2412;;;;;;;;;;;;;185;654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;414;;;;3109;;;;;;;;;;;;;;;;;1155
198;1857;3120;1606;2854;61544;82753;42279;66828;66214;81308;61307;72203;17881;7492;28754;20866;11331;7276;15360;9514;9518;4324;14005;11492;;;;;2438;2042;1820;1842;;;689;786;;;1548;1689;;;;;;1750;1022;1532;;;72;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;327;;;;2758;;;;;;;;;;;;;;;;;
199;3873;3365;2735;3430;33987;53578;28973;47636;62145;73883;54737;64612;20470;8697;25933;18276;8310;5616;10171;6786;10094;5748;11622;8962;;;;;1527;1512;1192;1266;;;409;565;;;1123;1290;;;;;;;288;416;;;31;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;;;;;;;;;;;;397;;;;2204;;;;;;;;;;;;;;;;;
200;2813;3483;2187;2633;38080;58645;32414;52665;59853;67876;49065;57205;13084;6888;23679;17953;9935;6287;11239;7227;13222;8120;13732;11171;;;;;1483;1624;1188;1431;;;432;593;;;1118;1272;;;;;;;227;396;;;31;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;;;;;;;;;;324;;;;2690;;;;;;;;;;;;;;;;;
201;3133;2585;2553;2026;29859;45617;26447;42870;60105;69904;50302;59542;15714;10584;24248;19253;9035;6133;10568;6821;9724;5633;10265;7954;;;;;1521;1673;1137;1389;;;485;660;;;1286;1322;;;;;;;386;558;;;25;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;284;;;;2023;;;;;;;;;;;;;;;;;
202;4233;4343;2635;3452;37332;60167;34984;55731;61167;62007;43300;48629;8684;6531;21190;17107;11579;6734;14197;8663;8768;5603;11065;9426;;;;;1798;2332;1560;2150;;;547;877;;;1158;1480;;;;;;;248;451;;;36;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;;;;;;;;;;;;260;;;;2030;;;;;;;;;;;;;;801;837;;
203;3062;3522;2458;3139;28042;47087;22419;38928;53705;63253;48270;56908;16213;7443;22500;16636;8043;4875;9642;5968;9274;4923;9922;7442;;;;;1295;1614;1021;1396;;;354;577;;;1237;1419;;;;;;;149;230;;;22;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;;;;;;266;;;;1717;;;;;;;;;;;;;;;;;
204;3429;3428;2390;3043;34948;56943;30348;50891;61594;60422;50210;50775;11237;6210;20354;14752;11583;6141;13070;8133;14109;7863;16456;12467;;;;;1315;1561;1092;1478;;;347;605;;;1111;1297;;;;;;;154;243;;;27;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;;284;;;;2483;;;;;;;;;;;;;;;1016;;
205;3552;3725;2328;3158;44416;62825;36122;55571;65215;76418;53078;63326;16541;7497;28104;20437;11884;7094;13186;8303;10685;6245;13047;10964;;;;;2347;2486;1895;2151;;;638;908;;;1627;1573;;;;;;1381;540;959;;;31;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;;;;;;;;;;;;311;;;;2948;;;;;;;;;;;;;;;;;
206;3255;3727;2698;3393;57338;79760;43303;65285;68081;76345;61777;66416;22054;16930;29045;25213;10737;7204;13922;8964;23696;11235;29745;23409;;;;;2043;2382;1153;1626;;;2265;2388;;;1035;1669;;;;;;;245;379;;;34;125;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;;833;;;;;;;;2384;;1305;;;;4553;;;;;;;;;;;;;;;935;;
207;3627;3861;2619;3178;54255;70456;39125;58541;51892;57443;46831;51561;14051;9492;22748;17740;10218;7003;12098;8176;10515;5931;14609;11188;;;;;3259;3475;2284;3021;;;1508;1647;;;1468;1678;;;;;;;421;662;;;30;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;425;;;;2909;;;;;;;;;;;;;;;;;
208;3191;3841;2788;3327;48713;71775;40325;62072;57736;65848;48785;56038;12878;7331;22392;17301;13002;7509;15457;9624;9277;5885;12919;11585;;;;;1807;2444;1798;2417;3631;4639;3601;4578;;;1443;1815;;;;;;;314;438;210;437;121;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;;;;;;;;;;;;319;;3188;;3079;;;;;;;;;;;;;;;;;
209;3013;4002;2744;3722;40404;66113;36117;57534;71481;77707;57953;65254;14870;7949;26988;20259;12546;6708;13486;8447;13748;8319;16485;14211;;;;;2710;1700;1935;1723;;3496;1918;3522;3140;;2217;2007;;;;;;1405;453;832;;;44;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;426;;;;3030;;;;;;;;;;;;;;1283;;;
210;3870;4109;2884;3629;55070;77325;44362;68201;52311;61781;45212;51844;14725;8687;22932;18237;22205;14464;22670;15397;10834;7596;13936;12369;;;;;4143;4922;3197;3971;;;1373;2176;;;2074;2520;;;;;;;414;544;;;55;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;;406;;;;3421;;;;;;;;;;;;;;;;;
211;4062;4905;3166;4270;34342;51556;28982;45927;50035;59788;44143;52408;14105;8801;19605;15082;15989;11572;16977;12199;8840;4550;8528;7226;;;;;3598;4624;2533;3023;;;1662;3005;;;1945;2307;;;;;;;387;551;;;32;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114;;;;;;;;;;;;391;;;;2561;;;;;;;;;;;;;;;;;
212;4156;5350;3205;4411;42287;61710;34790;53394;61994;70851;52517;60911;19431;10276;26201;19833;10926;6413;13137;7932;12637;7794;15635;13034;;;;;3230;2090;2272;2128;;3418;1980;3453;;;1889;2238;;;;;;1317;575;835;;;59;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;;609;;;;3322;;;;;;;;;;;;;;1925;;;
213;3719;3873;3029;3831;16724;25111;14831;24770;;;;;9508;5514;13992;10413;5362;3006;5641;3328;8477;6451;8923;6894;67284;79539;57712;71871;2045;2280;1347;1666;;;1086;1528;;;789;720;;;650;;;;99;151;;;20;52;1369;1020;309;271;;;1297;971;;;;;;;;;;;;;;;;;;;143;;;;;;;;63;;;;251;;;;;;;;1517;;;;1896;;;;720;;;;;;;;;;;;;647
214;1738;1947;1221;1586;24402;35731;19106;30981;;;;;16433;7708;22094;15256;6073;3698;6265;3947;17573;10767;17458;12844;67518;83991;61088;76249;1837;2038;1018;1066;;;1711;1667;;;996;1014;;;959;;;;91;143;;;35;44;;;54;82;;;1434;858;;;;;;;;;;;;;;;;;;;114;;;;;;;;60;;;;289;;;;;;3969;;2453;;;;2562;;;;1416;;;;;;;;;;327;;;811
215;2228;2351;1157;1322;20791;36283;19915;34693;;;;;19711;8665;21848;15836;8247;4473;8120;4883;25408;12064;18400;12708;69229;87477;66336;80909;2558;2139;1808;1687;;;900;1255;;;1021;1019;;;988;;;;155;225;;;31;61;;;43;83;;3665;1400;1331;;;;;;;;;;;;;;;;;;;119;;;;;;;;66;;;;327;;;;;;;;1878;;;;3583;;1650;;1581;;;;;;;;;;;;;834
216;2123;2279;1198;1521;35851;52329;29734;45927;;;;;20997;12199;30319;21471;7311;4764;8969;5430;20344;15698;23583;19959;91947;108897;80517;98089;2053;2466;1536;1591;;;895;1205;;;1086;1122;;;1350;;;;157;244;;;37;66;;;74;104;3172;;2027;969;;;;;;;;;;;;;;;;;;;141;;;;;;;;105;;;;417;;;;;;3197;;1902;;;;3649;;2462;;2230;;;;;;;;;;793;;;1085
217;2171;2785;1570;1876;26825;40630;26877;48613;;;;;14151;4709;21566;14183;10936;5075;10717;5834;14174;7741;14283;10631;99482;121771;86686;97356;3308;2735;2588;2334;;;1269;1983;;2132;1157;1634;;;999;;;;227;354;;;34;60;661;;120;82;;;1351;995;;;;;;;;;;;;;;;;;;;146;;;;;;;;86;;;;228;;;;;;3874;;2327;;;;3448;;;;592;;;;;;;;;;466;;;844
218;2441;2530;1617;2420;55691;65893;31067;45157;;;;;15766;7272;28189;18274;7773;3959;10705;6082;15307;8337;27405;22367;57161;61739;48622;54704;1531;1334;1117;1134;;;482;631;;1207;461;717;;;1019;;;;96;171;123;;70;77;217;260;95;135;;716;751;614;;;;;;;;;;;;;;;;;;;85;;;;;;;;73;;;;306;;;;;;1732;;1283;;;;4164;;;;932;;;;;;;;;;1285;;;915
219;1459;1545;1123;1284;44917;61036;32109;48238;;;;;24022;12650;31531;22078;9109;4833;10996;6158;21722;14060;27466;23001;61412;73067;55854;65031;1286;1563;1038;1101;;;439;716;;;546;591;;;1099;;;;106;148;;;51;76;221;1089;127;245;1574;;1079;608;;;;;;;;;;;;;;;;;;;83;;;;;;;;74;;;;352;;;;;;2147;;1283;;;;3715;;1616;;1358;;;;;;;;;;839;;;1029
220;1469;2082;1028;1360;43835;56508;30403;44729;;;;;17033;9134;25600;18372;8266;4099;10603;5953;20507;12470;26219;20697;58849;67133;51064;58952;1289;1363;1073;1198;;;503;598;;1518;493;703;;;1005;;;;153;205;;;54;73;460;441;148;193;;;813;523;;;;;;;;;;;;;;;;;;;111;;;;;;;;63;;;;325;;;;;;2097;;1236;;;;3624;;;;1176;;;;;;;;;;1784;;;977
221;1546;1720;1000;1213;47101;65603;32308;47653;;;;;20442;8098;29355;19896;9665;4768;11587;6577;24967;13180;33340;27261;63075;71321;53814;61266;1413;1552;1029;1207;;;498;719;;1720;528;861;;;1120;;;;160;190;;;33;64;412;381;140;181;;;929;591;;;;;;;;;;;;;;;;;;;117;;;;;;;;69;;;;361;;;;;;2623;;1550;;;;4045;;;;1069;;;;;;;;;;1879;374;;993
222;1561;1908;1086;1446;35805;56830;30776;45027;;;;;24634;11630;36208;27439;6914;3750;8318;4826;24386;14555;23433;20018;83856;98674;73273;85350;1480;1834;1099;1231;;;775;856;1975;;1099;917;;;1084;;;;102;196;;;20;51;;;57;107;;;1016;815;;;;;;;;;;;;;;;;;;;78;;;;;;;;86;;;;322;;;;;;2027;;1467;;;;3358;;1636;;1434;;;;;;686;;;;;;;1116
223;1716;2022;1110;1346;23041;37351;20380;35482;;;;;14745;7045;23226;16044;5967;3598;7074;4314;19499;12159;18258;13437;82305;102768;74860;93811;1172;1267;1186;1191;3455;4151;2960;3079;;;926;1134;;;966;;;;149;280;;;34;65;375;454;193;300;3612;;2659;1205;;;;;;;;;;;;;;;;;;;195;;;;;;;;73;;;;455;;;;;;3905;;2669;;;;2503;;1749;;1602;;;;;;;;;;;1741;;1058
224;2087;2543;1544;1677;29651;43843;24158;38408;;;;;27350;15733;36046;26850;7215;3858;7705;4566;19809;14839;23110;19618;101261;119161;83545;104663;2283;2230;1455;1456;;;804;1093;;;946;913;;;1214;;;;143;238;;;33;61;;;73;101;;;1995;1368;;;;;;;;;;;;;;;;;;;164;;;;;;;;106;;;;531;;;;;;;;1765;;;;2724;;;;2081;;;;;;;;;;;;;977
225;2523;2428;1494;1780;21406;33582;17747;30823;;;;;10142;5567;18243;12844;6156;4102;7122;4339;16188;9390;16341;11072;76741;99041;68886;89686;2063;2373;1641;1752;;;1420;1776;;;727;952;;;864;;;1036;245;542;;;16;51;608;;139;125;2860;;2163;1162;;;;;;;;;;;;;;;;;;;249;;;;;;;;71;;;;325;;;;;;2409;;1927;;;;1868;;1296;;1188;;;;;;749;;;;;;;783
226;1966;2553;1402;1737;25894;41229;23512;39115;;;;;19076;9166;28911;20702;7568;5068;8897;5504;21516;15068;20871;16425;94302;114756;83058;104036;1883;2278;1501;1630;;;835;1232;;;1257;1275;;;1128;;;;219;371;;;28;79;;;57;111;3399;3754;2740;2296;;;;;;;;;;;;;;;;;;;193;;;;;;;;91;;;;489;;;;;;4511;;3277;;;;3098;;1921;;1966;;;;;;;;;;1323;1714;;951
227;2439;2574;1704;1880;15336;25586;13611;22111;;;;;11065;6206;13485;8530;6851;3603;7536;4045;6717;3204;6189;4041;49398;65555;43628;62255;3039;3313;2190;2370;;;1449;2109;;;686;718;;;537;;;;110;204;;;17;34;;;25;43;;;1213;950;;;;;;;;;;;;;;;;;;;112;;;;;;;;46;;;;187;;;;;;;;1178;;;;1160;;;;514;;;;;;992;;;;;;;562
228;1524;1729;1049;1224;25337;40546;23634;39785;;;;;22940;12895;24031;17012;9362;5195;9554;5583;17133;12223;15002;11039;84953;107698;82466;102023;3295;4118;2373;2906;;;1373;1533;;;1152;1376;;;1172;;;;130;233;;;28;62;;;41;124;;;1397;1363;;;;;;;;;;;;;;;;;;;155;;;;;;;;80;;1176;;710;;;;;;4051;;2635;;;;2843;;;;705;;;;;;;;;;;;;963
229;2818;3412;1584;2085;16573;27765;17773;29997;;;;;22069;12927;18202;12095;9217;4142;9198;4571;8767;6429;9054;6516;54275;76236;52476;71879;2600;2801;2077;2015;;;792;1256;;;789;781;;;723;;;;100;182;;;18;37;;;40;82;;;912;921;;;;;;;;;;;;;;;;;;;116;;;;;;;;72;;;;226;;;;;;3212;;2392;;;;1618;;;;547;;;;;;;;;;;;;666
230;1536;2120;1124;1422;17920;25816;14151;23382;;;;;10305;5390;14359;8694;4868;;5742;2966;5828;4643;6786;4849;54904;75543;51702;71195;1743;3349;1761;2405;1719;;1388;1536;;;674;807;;;599;;;;59;120;;;20;54;522;1554;124;295;;;1140;816;;;;;;;;;;;;;;;;;;;157;;;;;;;;54;;;;194;;;;;;4626;;2472;;;;1392;;;;486;;;;;;;;;;;;;603
231;2052;3310;1227;1883;24922;24953;15817;25931;;;;;8650;4210;15232;9272;5410;3731;7257;4292;4372;3813;5925;4184;61572;85192;55844;74793;2519;3390;2085;2627;;;1258;1660;;;772;1019;;;629;;;;69;129;;;13;48;;;28;52;;;1232;980;;;;;;;;;;;;;;;;;;;93;;;;;;;;47;;;;171;;;;;;3040;;2831;;;;1526;;;;534;;;;;;;;;;602;;;699
232;1621;1975;1345;1578;30587;41223;25606;42738;;;;;18922;7146;19418;12185;10544;5110;10629;5746;13833;8094;12807;8714;71148;96174;68586;86155;3818;3617;2839;3271;;;913;1112;;;1284;1309;;;965;;;;234;443;;;37;58;;;62;113;;2093;1026;1254;;;;;;;;;;;;;;;;;;;198;;;;;;;;105;;;;213;;;;;;;;2083;;;;3686;;1493;;1288;;;;;;;;;;;;;899
233;3314;2981;1680;2441;35207;50566;29375;46510;;;;;21618;8392;22998;15999;10514;5309;11453;6463;14784;11152;18343;15210;75653;94356;72120;86356;2753;2819;2297;2488;;;1100;1129;;2710;1037;1664;;;1316;;;;153;184;;;40;61;;474;68;188;;2346;1078;1483;;;;;;;;;;;;;;;;;;;129;;;;;;;;101;;;;430;;;;;;4410;;2772;;2903;;3566;;1227;;1171;;;;;;;;;;;;;778
234;1933;2468;1455;2079;34321;44381;24828;41539;;;;;11058;4773;16553;11024;9396;5300;11310;5937;6423;4860;8580;6045;72791;91714;66951;84368;3463;4600;3020;3752;;;1185;1623;;;1225;1320;;;966;;;;159;247;;;22;64;;;49;88;;;1288;1218;;;;;;;;;;;;;;;;;;;226;;;;;;;;94;;;;191;;;;;;2830;;2305;;;;2269;;;;761;;;;;;;;;;1506;2103;;780
235;2151;2785;1957;2511;24261;36454;24467;39773;;;;;8664;3735;14272;8458;6567;3477;9093;4764;6031;3142;8060;5149;54891;64110;54009;67015;2994;2271;3071;2722;;;693;1003;;;1132;1029;;;872;;;;108;192;;;21;55;;;33;83;;1263;1054;1162;;;;;;;;;;;;;;;;;;;222;;;;;;;;59;;;;176;;;;;;1563;;1565;;;;2207;;;;642;;;;;;;;;;17196;17944;;755
236;1859;2240;2270;2476;26044;31777;19553;32012;;;;;13590;7137;17523;12189;7601;;8316;4702;11726;13782;13512;10386;62548;76536;57433;67980;1899;4201;1759;2319;2213;;1937;2262;;;1061;889;;;790;;;;188;329;;;58;115;;;33;89;1562;;770;505;;;;;;;;;;;;;;;;;;;138;;;;;;;;55;;;;244;;;;;;;;754;;;;3041;;;;714;;;;;;;;;;303;;;755
237;1563;2566;1170;1467;23920;36352;22018;36118;;;;;9898;6703;16066;11557;6318;3808;6865;4355;13096;5396;10937;7802;58848;70928;51124;61086;1701;2421;1593;1802;1855;;1520;2084;;;818;658;;;690;;;881;293;531;;;20;43;;;30;45;;;414;257;;;;;;;;;;;;;;;;;;;131;;;;;;;;50;;;;181;;;;;;;;595;;;;2401;;;;570;;;;;;;;;;;;;664
238;1654;1909;974;1396;28882;41705;26869;41691;;;;;8805;4803;13398;10348;7475;4073;8116;4732;9380;6580;8707;6468;55174;65352;49248;57476;2775;3175;2384;2886;;;614;795;;;711;718;;;597;;;;231;313;;;35;99;;;25;57;;;261;224;;;;;;;;;;;;;;;;;;;70;;;;;;;;56;;;;165;;;;;;1234;;697;;;;2093;;;;302;;;;;;;;;;342;;;651
239;1784;2391;1272;1621;33763;51635;29265;45909;;;;;9604;4601;14036;11519;9994;5289;10550;6105;9302;4623;8678;7001;57632;69788;51661;61441;3094;3224;2458;2609;;;916;1421;;;999;974;;;1005;;;;511;807;;;31;47;;;49;98;;;487;496;;;;;;;;;;;;;;;;;;;111;;;;;;;;93;;;;167;;;;;;;;484;;;;2248;;;;612;;;;;;;;;;650;;;899
240;2057;2403;1735;2237;18717;35160;21863;36213;;;;;4885;4991;14520;10384;6624;4308;8038;4876;5985;5226;8731;6385;86658;81041;62880;70251;3027;4241;2682;3185;;;1215;1828;;;1045;922;;;827;;;;259;396;;;25;63;;;48;86;;;546;470;;;;;;;;;;;;;;;;;;;112;;;;;;;;59;;;;185;;;;;;1407;;1091;;;;2332;;;;659;;;;;;;;;;;;;686
241;1198;2691;1384;1913;37133;55329;32847;53775;;;;;17346;7475;23222;14434;9231;5171;12176;6537;14054;9851;17294;13327;80239;100090;68128;87051;3835;4213;3023;3063;;;1301;2482;;;1520;1244;;;1061;;;2214;618;1483;;;37;101;;;42;101;;;553;405;;;;;;;;;;;;;;;;;;;187;;;;;;;;128;;;;400;;;;;;3658;;2662;;3248;;3512;;;;1159;;;;;;;;;;692;;;1104
242;2553;3192;2119;2428;32269;54726;28248;44033;;;;;12736;4913;20048;13184;8275;3113;8821;4574;15036;7203;18043;14723;60685;65612;48552;57370;1596;1799;1362;1553;;;596;648;1946;;1095;695;;;794;;;564;208;437;;;45;68;;477;37;170;;;308;279;;;;;;;;;;;;;;;;;;;70;;;;;;;;50;;;;210;;;;;;1686;;1177;;;;4096;;;;994;;;;;;;;;;281;;;662
243;1335;1470;1091;1481;44505;65014;37820;60544;;;;;15361;7896;24978;16317;13798;7913;14667;7883;17109;10319;20314;15160;76897;92017;63392;79648;3551;4580;2714;3374;;;1251;1617;;;1512;1327;;;1355;;;;393;784;;;66;121;;;66;104;;;492;413;;;;;;;;;;;;;;;;;;;142;;;;;;;;136;;;;364;;;;;;;;1610;;4166;;5035;;;;1604;;;;;;2042;;;;;;;1149
244;2512;3120;2030;2418;41246;55046;29751;46456;;;;;10652;5317;18528;12476;10923;5780;12554;7178;15043;9878;20934;17221;48943;57917;40094;49634;2320;2283;1835;1944;;;611;693;;;620;557;;;1129;;;638;168;461;187;218;106;161;;;52;77;;907;233;428;;;;;;;;;;;;;;;;;;;89;;;;;;;;79;;;;313;;;;;;;;847;;4268;;4940;;;;1081;;;;;;;;;;;;;927
245;1572;1729;1190;1500;37159;52523;30766;47925;;;;;10498;5433;14592;10285;10794;5320;11698;6595;10048;7411;12210;10144;47519;59510;42645;54367;3136;2968;2548;2358;;;752;1031;;;776;672;;;946;;;820;209;569;;;62;125;;;44;74;;1303;267;594;;;;;;;;;;;;;;;;;;;85;;;;;;;;80;;;;262;;;;;;;;753;;2653;;3220;;1290;;1500;;;;;;;;;;;;;898
246;1689;2346;1371;1997;40464;60277;36327;57883;;;;;18809;7968;23177;14254;9610;5511;11262;6333;16521;9557;19517;13359;75280;91633;64763;81783;3289;3227;2487;2528;;;1474;1213;;;1139;935;;;1162;;;1437;359;871;;;28;76;;;42;72;;;495;375;;;;;;;;;;;;;;;;;;;120;;;;;;;;94;;;;361;;;;;;;;1065;;3205;;3690;;1642;;1822;;;;;;;;;;;;;932
247;2256;3627;1692;2623;25143;37309;23235;37783;;;;;15185;6897;20868;14883;8072;4227;8828;4952;22717;16105;15071;11050;56491;73957;53201;66568;2716;2601;1750;1607;;;1791;2174;;;1089;1052;;;917;;;;99;198;;;67;152;;;50;92;;;329;337;;;;;;;;;;;;;;;;;;;120;;;;;;;;60;;;;246;;;;;;1841;;979;;;;2828;;;;1180;;;;;;;;;;;;;848
248;2840;3187;2297;2587;28487;41885;23712;37654;;;;;13592;7778;22188;15888;13000;7465;13717;8422;14723;10539;12475;9646;85574;98772;75708;91645;3305;4238;2504;3245;;;1580;2701;;;1339;1194;;;804;;;1175;259;603;;;33;96;;;56;86;;;495;378;;;;;;;;;;;;;;;;;;;196;;;;;;;;70;;;;264;;;;;;;;1242;;;;2807;;;;703;;;;;;;;;;712;;;990
249;2659;3438;1900;2742;28659;44689;25872;41828;;;;;12858;6103;20360;13297;8817;;9346;4906;13649;9202;14285;10339;75542;88171;63513;78161;1620;1821;1575;1680;2230;3390;1826;2718;;;1205;1010;;;1067;;921;941;232;478;;;46;84;;;47;124;;;379;310;;;;;;;;;;;;;;;;;;;113;;;;;;;;59;;;;307;;;;;;;;1087;;;;2888;;;;986;;;;;;;;;;;933;;902
250;3186;3172;2289;2585;27794;42937;24747;39889;;;;;13713;6483;18742;13320;14803;9848;13317;8178;14598;7797;13182;10252;66253;82989;62265;73981;3029;3397;1829;2037;;;1790;3290;;;1090;1044;;;771;;;;277;462;;;62;128;;;40;83;2213;;784;363;;;;;;;;;;;;;;;;;;;157;;;;;;;;57;;;;242;;;;;;;;990;;;;3076;;;;765;;;;;;;;;;526;;;955
251;3121;2979;1867;2448;39055;56719;31440;49232;;;;;17030;8636;23203;16938;9334;5736;10582;6821;21914;15157;24341;19701;73800;82915;65294;75419;2312;935;1287;928;;4444;2462;4176;;;1011;982;;;1103;;;1241;250;519;;;36;70;;;59;96;;;428;348;;;;;;;;;;;;;;;;;;;147;;;;;;;;39;;;;260;;;;;;;;1422;;3659;;4262;;;;836;;;;;;;;;;742;;;1041
252;2185;2626;1569;2138;26268;41290;24981;41149;;;;;14638;7393;17645;13427;9318;5280;10552;6052;19708;17462;16898;15457;56644;72284;51728;65285;2038;2257;1602;1617;;;899;1437;;;665;682;;;965;;;;136;353;230;;113;116;177;877;89;250;1022;;674;455;;;;;;;;;;;;;;;;;;;115;;;;;;;;88;;;;307;;;;;;1621;;1073;;;;4166;;1658;;1513;;;;;;;;;;846;;;848
